,Acres Burned,Latitude,Longitude,Incident Start,County,Cause Type,Start Date
1412,8799.0,34.32988,-118.48161,2019-10-10T21:02:00Z,Los Angeles,Wildfire,2019-10-10
1413,30.0,35.709176,-120.312856,2019-10-11T12:30:19Z,San Luis Obispo,Wildfire,2019-10-11
1414,3435.0,38.724,-120.145,2019-10-11T12:47:59Z,El Dorado,Wildfire,2019-10-11
1415,200.0,34.23955,-119.20187,2019-10-11T15:57:10Z,Ventura,Wildfire,2019-10-11
1416,55.0,40.387772,-120.304341,2019-10-13T14:45:37Z,Lassen,Wildfire,2019-10-13
1417,75.0,33.45148,-116.05898,2019-10-14T15:32:20Z,Riverside,Wildfire,2019-10-14
1418,15.0,38.045866,-122.245186,2019-10-15T16:17:18Z,Contra Costa,Wildfire,2019-10-15
1419,10.0,32.762706,-117.097441,2019-10-15T17:41:57Z,San Diego,Wildfire,2019-10-15
1420,420.0,34.484722,-120.190833,2019-10-17T16:31:00Z,Santa Barbara,Wildfire,2019-10-17
1421,25.0,38.88913,-122.604425,2019-10-17T20:06:00Z,Lake,Wildfire,2019-10-17
1422,137.0,36.319291,-120.460189,2019-10-18T12:17:32Z,Fresno,Wildfire,2019-10-18
1423,11.0,34.033117,-117.21545,2019-10-21T08:16:33Z,San Bernardino,Wildfire,2019-10-21
1424,42.0,34.055768,-118.554091,2019-10-21T11:52:52Z,Los Angeles,Wildfire,2019-10-21
1425,77758.0,38.792458,-122.780053,2019-10-23T21:27:00Z,Sonoma,Wildfire,2019-10-23
1426,145.0,34.183624,-117.274276,2019-10-24T04:53:17Z,San Bernardino,Wildfire,2019-10-24
1427,67.0,37.896231,-122.636471,2019-10-24T12:15:33Z,Marin,Wildfire,2019-10-24
1428,80.0,39.551423,-121.800538,2019-10-24T14:43:10Z,Butte,Wildfire,2019-10-24
1429,4615.0,34.472778,-118.368056,2019-10-24T14:51:46Z,Los Angeles,Wildfire,2019-10-24
1430,62.0,37.166674,-122.361112,2019-10-24T20:15:36Z,San Mateo,Wildfire,2019-10-24
1431,35.0,37.62782,-121.68598,2019-10-24T23:16:18Z,Alameda,Wildfire,2019-10-24
1432,97.0,33.055124,-116.742508,2019-10-25T10:52:04Z,San Diego,Wildfire,2019-10-25
1433,37.0,33.259861,-117.027333,2019-10-25T15:05:52Z,San Diego,Wildfire,2019-10-25
1434,605.0,40.00171,-122.25421,2019-10-27T02:47:20Z,Tehama,Wildfire,2019-10-27
1435,200.0,37.99136,-121.64118,2019-10-27T08:50:23Z,Contra Costa,Wildfire,2019-10-27
1436,150.0,38.03545,-122.2241,2019-10-27T11:29:03Z,Contra Costa,Wildfire,2019-10-27
1437,140.0,38.07205,-122.22463,2019-10-27T11:52:15Z,Solano,Wildfire,2019-10-27
1438,703.0,39.22431,-123.12887,2019-10-27T14:54:40Z,Mendocino,Wildfire,2019-10-27
1439,50.0,37.97911,-122.11092,2019-10-27T17:36:15Z,Contra Costa,Wildfire,2019-10-27
1440,745.0,34.098191,-118.478717,2019-10-28T06:46:55Z,Los Angeles,Wildfire,2019-10-28
1441,2375.0,34.282179,-118.803389,2019-10-30T07:45:14Z,Ventura,Wildfire,2019-10-30
1442,628.0,34.01778,-117.4625,2019-10-31T08:19:00Z,Riverside,Wildfire,2019-10-31
1443,328.0,33.985972,-117.414111,2019-10-31T06:22:34Z,Riverside,Wildfire,2019-10-31
1444,50.0,32.564583,-116.834583,2019-10-31T06:39:56Z,San Diego,Wildfire,2019-10-31
1445,200.0,34.183,-117.285,2019-10-31T06:53:47Z,San Bernardino,Wildfire,2019-10-31
1446,9999.0,34.302212,-118.997115,2019-10-31T20:58:28Z,Ventura,Wildfire,2019-10-31
1447,19.0,33.849906,-117.461363,2019-11-01T13:04:34Z,Riverside,Wildfire,2019-11-01
1448,2534.0,40.036379,-122.637837,2019-11-03T14:16:17Z,Tehama,Wildfire,2019-11-03
1449,75.0,39.100408,-122.496548,2019-11-05T06:52:14Z,Lake,Wildfire,2019-11-05
1450,308.0,38.838992,-121.325842,2019-11-25T12:39:44Z,Placer,Wildfire,2019-11-25
1451,3126.0,34.5025,-119.785,2019-11-25T19:59:12Z,Santa Barbara,Wildfire,2019-11-25
1452,15.0,40.511092,-123.6378411,2020-02-15T17:48:27Z,Humboldt,Wildfire,2020-02-15
1453,102.0,39.6923001,-120.3291855,2020-02-17T15:04:08Z,Sierra,Wildfire,2020-02-17
1454,75.0,40.33583333,-122.84722222,2020-02-23T08:35:30Z,Tehama,Wildfire,2020-02-23
1455,57.0,40.62155,-120.49392,2020-02-23T17:50:20Z,Lassen,Wildfire,2020-02-23
1456,211.0,39.75638899,-122.94111111,2020-02-25T14:17:21Z,"Glenn, Mendocino",Wildfire,2020-02-25
1457,154.0,39.774968,-122.384532,2020-03-02T14:08:05Z,Glenn,Wildfire,2020-03-02
1458,180.0,33.96957,-117.51793,2020-03-03T11:13:50Z,Riverside,Wildfire,2020-03-03
1459,20.0,33.65263,-117.40906,2020-03-06T12:44:00Z,Riverside,Wildfire,2020-03-06
1460,275.0,32.93432,-115.5865,2020-04-04T20:22:08Z,Imperial,Wildfire,2020-04-04
